time,open,high,low,close,volume,index_code
2021-10-13,1394.8,1400.67,1389.61,1391.91,582912400,VNINDEX
2021-10-14,1391.91,1398.67,1388.89,1391.85,671090900,VNINDEX
2021-10-15,1391.85,1399.03,1388.0,1392.7,711550400,VNINDEX
2021-10-18,1392.7,1402.63,1390.88,1395.53,741454800,VNINDEX
2021-10-19,1395.53,1399.66,1388.95,1395.33,583394100,VNINDEX
2021-10-20,1395.33,1401.76,1376.15,1393.8,775436500,VNINDEX
2021-10-21,1393.8,1398.45,1384.77,1384.77,660491700,VNINDEX
2021-10-22,1384.77,1393.7,1384.77,1389.24,723134800,VNINDEX
2021-10-25,1389.24,1395.72,1385.4,1385.4,842037500,VNINDEX
2021-10-26,1385.4,1393.03,1377.56,1391.63,667788500,VNINDEX
2021-10-27,1391.63,1423.02,1391.63,1423.02,833096300,VNINDEX
2021-10-28,1423.02,1440.64,1420.42,1438.01,795476100,VNINDEX
2021-10-29,1438.01,1447.62,1432.19,1444.27,904699600,VNINDEX
2021-11-01,1444.27,1451.81,1435.57,1438.97,1052909000,VNINDEX
2021-11-02,1438.97,1452.46,1438.83,1452.46,942151100,VNINDEX
2021-11-03,1452.46,1463.63,1440.67,1444.3,1412338600,VNINDEX
2021-11-04,1444.3,1451.98,1435.84,1448.34,863608400,VNINDEX
2021-11-05,1448.34,1459.93,1444.51,1456.51,814437100,VNINDEX
2021-11-08,1456.51,1470.49,1456.51,1467.57,972340900,VNINDEX
2021-11-09,1467.57,1474.2,1457.57,1461.5,971430000,VNINDEX
2021-11-10,1461.5,1470.19,1457.98,1465.02,926684900,VNINDEX
2021-11-11,1465.02,1472.89,1449.18,1462.35,1172790500,VNINDEX
2021-11-12,1462.35,1474.98,1453.22,1473.37,881068600,VNINDEX
2021-11-15,1473.37,1481.96,1466.01,1476.57,1115831700,VNINDEX
2021-11-16,1476.57,1476.97,1459.08,1466.45,1126970500,VNINDEX
2021-11-17,1466.45,1477.04,1464.78,1475.85,801112100,VNINDEX
2021-11-18,1475.85,1482.68,1469.83,1469.83,1018526500,VNINDEX
2021-11-19,1469.83,1481.53,1434.69,1452.35,1454744900,VNINDEX
2021-11-22,1452.35,1466.46,1442.85,1447.25,1179261600,VNINDEX
2021-11-23,1447.25,1463.63,1438.41,1463.63,812872100,VNINDEX
2021-11-24,1463.63,1491.05,1463.63,1488.87,1030950500,VNINDEX
2021-11-25,1488.87,1505.36,1488.87,1500.81,912165600,VNINDEX
2021-11-26,1500.81,1511.68,1488.83,1493.03,967912000,VNINDEX
2021-11-29,1493.03,1493.03,1464.83,1484.84,936276500,VNINDEX
2021-11-30,1484.84,1503.09,1471.57,1478.44,1010078900,VNINDEX
2021-12-01,1478.44,1487.68,1471.3,1485.19,813267800,VNINDEX
2021-12-02,1485.19,1493.84,1482.05,1482.05,721589500,VNINDEX
2021-12-03,1482.05,1491.2,1443.32,1443.32,998875400,VNINDEX
2021-12-06,1443.32,1452.55,1400.87,1413.58,978214400,VNINDEX
2021-12-07,1413.58,1446.77,1413.58,1446.77,664287400,VNINDEX
2021-12-08,1446.77,1460.28,1446.77,1452.87,711759600,VNINDEX
2021-12-09,1452.87,1467.98,1446.88,1467.98,611970400,VNINDEX
2021-12-10,1467.98,1475.85,1461.78,1463.54,760375600,VNINDEX
2021-12-13,1463.54,1481.7,1463.54,1476.21,789945400,VNINDEX
2021-12-14,1476.21,1485.14,1469.21,1476.02,888205600,VNINDEX
2021-12-15,1476.02,1481.67,1468.21,1475.5,840610100,VNINDEX
2021-12-16,1475.5,1482.32,1468.95,1476.61,870245300,VNINDEX
2021-12-17,1476.61,1487.73,1476.61,1479.79,1035566100,VNINDEX
2021-12-20,1479.79,1483.85,1468.88,1477.33,886732500,VNINDEX
2021-12-21,1477.33,1486.03,1472.43,1478.74,838294200,VNINDEX
2021-12-22,1478.74,1489.24,1471.84,1477.67,998640700,VNINDEX
2021-12-23,1477.67,1481.21,1447.14,1456.96,1236789400,VNINDEX
2021-12-24,1456.96,1478.8,1456.32,1477.03,830953100,VNINDEX
2021-12-27,1477.03,1490.12,1469.91,1488.88,693941300,VNINDEX
2021-12-28,1488.88,1499.77,1483.97,1494.39,906771600,VNINDEX
2021-12-29,1494.39,1498.91,1485.82,1485.82,769725300,VNINDEX
2021-12-30,1490.96,1493.38,1484.82,1485.97,697130800,VNINDEX
2021-12-31,1485.97,1499.07,1485.97,1498.28,807120700,VNINDEX
2022-01-04,1508.55,1526.69,1507.19,1525.58,790467000,VNINDEX
2022-01-05,1525.58,1535.82,1522.5,1522.5,958500400,VNINDEX
2022-01-06,1522.5,1536.24,1518.18,1528.57,1049960600,VNINDEX
2022-01-07,1534.1,1534.52,1524.96,1528.48,925633800,VNINDEX
2022-01-10,1528.48,1536.45,1503.71,1503.71,1283743700,VNINDEX
2022-01-11,1503.71,1512.05,1488.4,1492.31,1194709000,VNINDEX
2022-01-12,1489.11,1510.51,1464.49,1510.51,1070503500,VNINDEX
2022-01-13,1510.51,1522.6,1495.13,1496.05,941991300,VNINDEX
2022-01-14,1496.05,1503.25,1476.68,1496.02,712911900,VNINDEX
2022-01-17,1496.02,1503.86,1452.84,1452.84,888508000,VNINDEX
2022-01-18,1439.29,1452.14,1424.65,1438.94,666313500,VNINDEX
2022-01-19,1438.68,1449.11,1434.46,1442.79,538507600,VNINDEX
2022-01-20,1438.99,1469.08,1432.58,1465.3,738010400,VNINDEX
2022-01-21,1465.3,1477.09,1463.06,1472.89,755353500,VNINDEX
2022-01-24,1472.89,1472.89,1432.18,1439.71,757646100,VNINDEX
2022-01-25,1439.71,1479.58,1424.36,1479.58,680083800,VNINDEX
2022-01-26,1479.58,1490.45,1478.41,1481.58,737216700,VNINDEX
2022-01-27,1481.58,1486.39,1464.06,1470.76,498256400,VNINDEX
2022-01-28,1470.76,1484.48,1465.22,1478.96,634887600,VNINDEX
2022-02-07,1498.8,1505.69,1493.89,1497.66,516533800,VNINDEX
2022-02-08,1496.26,1503.33,1491.78,1500.99,660158600,VNINDEX
2022-02-09,1501.67,1511.72,1499.53,1505.38,722161500,VNINDEX
2022-02-10,1510.66,1512.88,1495.7,1506.79,594347700,VNINDEX
2022-02-11,1502.83,1508.54,1499.06,1501.71,550204700,VNINDEX
2022-02-14,1486.73,1495.99,1471.96,1471.96,717396000,VNINDEX
2022-02-15,1473.92,1495.56,1470.06,1492.75,538527000,VNINDEX
2022-02-16,1499.07,1499.5,1486.68,1492.1,594459500,VNINDEX
2022-02-17,1492.1,1507.99,1492.1,1507.99,687250992,VNINDEX
2022-02-18,1494.3,1507.29,1492.38,1504.84,645883900,VNINDEX
2022-02-21,1504.96,1516.63,1500.97,1510.84,708058800,VNINDEX
2022-02-22,1499.18,1506.38,1484.81,1503.47,842552800,VNINDEX
2022-02-23,1509.12,1520.78,1507.37,1512.3,628763100,VNINDEX
2022-02-24,1508.73,1513.25,1473.76,1494.85,1085759500,VNINDEX
2022-02-25,1494.85,1512.05,1494.85,1498.89,915975659,VNINDEX
2022-02-28,1499.43,1502.36,1487.57,1490.13,661415000,VNINDEX
2022-03-01,1493.93,1501.73,1491.48,1498.78,766211100,VNINDEX
2022-03-02,1499.37,1500.41,1479.55,1485.52,870952300,VNINDEX
2022-03-03,1492.48,1505.0,1487.69,1505.0,858871000,VNINDEX
2022-03-04,1505.0,1509.19,1501.39,1505.33,1112602915,VNINDEX
2022-03-07,1500.65,1505.32,1493.87,1499.05,907794900,VNINDEX
2022-03-08,1487.37,1495.97,1473.71,1473.71,952541400,VNINDEX
2022-03-09,1478.43,1482.86,1462.8,1473.74,864004300,VNINDEX
2022-03-10,1485.11,1488.59,1479.08,1479.08,607737500,VNINDEX
2022-03-11,1479.08,1480.29,1458.88,1466.54,1159784462,VNINDEX
2022-03-14,1459.28,1461.06,1439.19,1446.25,787290900,VNINDEX
2022-03-15,1444.92,1453.07,1437.27,1452.74,618581000,VNINDEX
2022-03-16,1459.68,1462.98,1453.91,1459.33,527855900,VNINDEX
2022-03-17,1466.56,1467.74,1459.14,1461.34,666857100,VNINDEX
2022-03-18,1461.34,1474.86,1461.34,1469.1,935872693,VNINDEX
2022-03-21,1474.78,1494.95,1474.38,1494.95,694839300,VNINDEX
2022-03-22,1500.08,1507.71,1498.48,1503.78,873002500,VNINDEX
2022-03-23,1505.76,1513.9,1501.67,1502.34,763655100,VNINDEX
2022-03-24,1503.91,1505.39,1495.18,1498.26,732998300,VNINDEX
2022-03-25,1500.17,1503.29,1494.55,1498.5,947688031,VNINDEX
2022-03-28,1490.44,1496.79,1473.8,1483.18,958280800,VNINDEX
2022-03-29,1487.57,1498.45,1487.57,1497.76,661152000,VNINDEX
2022-03-30,1491.92,1503.89,1483.9,1490.51,854370000,VNINDEX
2022-03-31,1492.5,1498.41,1488.27,1492.15,603940100,VNINDEX
2022-04-01,1492.15,1516.87,1484.13,1516.44,1087307257,VNINDEX
2022-04-04,1528.87,1530.95,1522.82,1524.7,702062500,VNINDEX
2022-04-05,1521.4,1527.57,1519.28,1520.03,635012500,VNINDEX
2022-04-06,1510.69,1523.75,1507.62,1522.9,875381800,VNINDEX
2022-04-07,1524.12,1524.92,1502.35,1502.35,731702000,VNINDEX
2022-04-08,1504.31,1507.73,1482.0,1482.0,714336000,VNINDEX
2022-04-12,1487.94,1490.58,1455.25,1455.25,626421200,VNINDEX
2022-04-13,1459.48,1477.2,1448.52,1477.2,610048700,VNINDEX
2022-04-14,1483.08,1484.34,1471.75,1472.12,469987900,VNINDEX
2022-04-15,1470.32,1478.95,1456.39,1458.56,607674500,VNINDEX
2022-04-18,1455.04,1456.07,1425.07,1432.6,756738100,VNINDEX
2022-04-19,1435.82,1442.04,1406.45,1406.45,631671200,VNINDEX
2022-04-20,1401.63,1410.64,1384.72,1384.72,623503300,VNINDEX
2022-04-21,1369.8,1392.33,1356.58,1370.21,710757900,VNINDEX
2022-04-22,1378.28,1392.89,1352.43,1379.23,757404900,VNINDEX
2022-04-25,1377.75,1382.13,1298.38,1310.92,653206600,VNINDEX
2022-04-26,1285.4,1341.34,1261.4,1341.34,642893200,VNINDEX
