quarter,selected_ticker,selected_company,selected_sector,selected_score,selected_signal_class,selected_risk_level,selected_quarter_return,selected_return_3m,peer_ticker,peer_company,peer_score,peer_signal_class,peer_risk_level,peer_quarter_return,peer_return_3m,score_gap,return_gap,opportunity_cost_level
2023Q1,ACB,ACB,Banking,64.33,Neutral,Medium Risk,10.11,13.17,STB,Sacombank,70.0,Positive Signal,High Risk,11.49,19.63,5.67,6.46,Moderate Opportunity Cost
2023Q1,ACB,ACB,Banking,64.33,Neutral,Medium Risk,10.11,13.17,VPB,VPBank,69.58,Positive Signal,Medium Risk,13.8,22.36,5.25,9.19,Moderate Opportunity Cost
2023Q1,ACB,ACB,Banking,64.33,Neutral,Medium Risk,10.11,13.17,HDB,HDBank,63.5,Neutral,Medium Risk,16.67,18.5,-0.83,5.33,Moderate Opportunity Cost
2023Q1,ACB,ACB,Banking,64.33,Neutral,Medium Risk,10.11,13.17,TPB,TPBank,62.92,Neutral,Medium Risk,12.44,17.26,-1.41,4.09,Moderate Opportunity Cost
2023Q1,ACB,ACB,Banking,64.33,Neutral,Medium Risk,10.11,13.17,CTG,VietinBank,59.75,Neutral,Medium Risk,4.25,12.07,-4.58,-1.1,No Clear Opportunity Cost
2023Q1,ACB,ACB,Banking,64.33,Neutral,Medium Risk,10.11,13.17,MBB,Military Bank,56.25,Neutral,Medium Risk,1.44,8.68,-8.08,-4.49,No Clear Opportunity Cost
2023Q1,ACB,ACB,Banking,64.33,Neutral,Medium Risk,10.11,13.17,TCB,Techcombank,52.08,Neutral,Medium Risk,3.31,10.34,-12.25,-2.83,No Clear Opportunity Cost
2023Q1,ACB,ACB,Banking,64.33,Neutral,Medium Risk,10.11,13.17,VCB,Vietcombank,46.92,Weak Signal,Medium Risk,10.66,15.85,-17.41,2.68,Moderate Opportunity Cost
2023Q1,ACB,ACB,Banking,64.33,Neutral,Medium Risk,10.11,13.17,BID,BIDV,46.0,Weak Signal,Medium Risk,12.15,19.08,-18.33,5.91,Moderate Opportunity Cost
2023Q1,BID,BIDV,Banking,46.0,Weak Signal,Medium Risk,12.15,19.08,STB,Sacombank,70.0,Positive Signal,High Risk,11.49,19.63,24.0,0.55,Moderate Opportunity Cost
2023Q1,BID,BIDV,Banking,46.0,Weak Signal,Medium Risk,12.15,19.08,VPB,VPBank,69.58,Positive Signal,Medium Risk,13.8,22.36,23.58,3.28,Moderate Opportunity Cost
2023Q1,BID,BIDV,Banking,46.0,Weak Signal,Medium Risk,12.15,19.08,ACB,ACB,64.33,Neutral,Medium Risk,10.11,13.17,18.33,-5.91,Moderate Opportunity Cost
2023Q1,BID,BIDV,Banking,46.0,Weak Signal,Medium Risk,12.15,19.08,HDB,HDBank,63.5,Neutral,Medium Risk,16.67,18.5,17.5,-0.58,Moderate Opportunity Cost
2023Q1,BID,BIDV,Banking,46.0,Weak Signal,Medium Risk,12.15,19.08,TPB,TPBank,62.92,Neutral,Medium Risk,12.44,17.26,16.92,-1.82,Moderate Opportunity Cost
2023Q1,BID,BIDV,Banking,46.0,Weak Signal,Medium Risk,12.15,19.08,CTG,VietinBank,59.75,Neutral,Medium Risk,4.25,12.07,13.75,-7.01,Moderate Opportunity Cost
2023Q1,BID,BIDV,Banking,46.0,Weak Signal,Medium Risk,12.15,19.08,MBB,Military Bank,56.25,Neutral,Medium Risk,1.44,8.68,10.25,-10.4,Moderate Opportunity Cost
2023Q1,BID,BIDV,Banking,46.0,Weak Signal,Medium Risk,12.15,19.08,TCB,Techcombank,52.08,Neutral,Medium Risk,3.31,10.34,6.08,-8.74,Low Opportunity Cost
2023Q1,BID,BIDV,Banking,46.0,Weak Signal,Medium Risk,12.15,19.08,VCB,Vietcombank,46.92,Weak Signal,Medium Risk,10.66,15.85,0.92,-3.23,Low Opportunity Cost
2023Q1,CTG,VietinBank,Banking,59.75,Neutral,Medium Risk,4.25,12.07,STB,Sacombank,70.0,Positive Signal,High Risk,11.49,19.63,10.25,7.56,Moderate Opportunity Cost
2023Q1,CTG,VietinBank,Banking,59.75,Neutral,Medium Risk,4.25,12.07,VPB,VPBank,69.58,Positive Signal,Medium Risk,13.8,22.36,9.83,10.29,Moderate Opportunity Cost
2023Q1,CTG,VietinBank,Banking,59.75,Neutral,Medium Risk,4.25,12.07,ACB,ACB,64.33,Neutral,Medium Risk,10.11,13.17,4.58,1.1,Low Opportunity Cost
2023Q1,CTG,VietinBank,Banking,59.75,Neutral,Medium Risk,4.25,12.07,HDB,HDBank,63.5,Neutral,Medium Risk,16.67,18.5,3.75,6.43,Moderate Opportunity Cost
2023Q1,CTG,VietinBank,Banking,59.75,Neutral,Medium Risk,4.25,12.07,TPB,TPBank,62.92,Neutral,Medium Risk,12.44,17.26,3.17,5.19,Moderate Opportunity Cost
2023Q1,CTG,VietinBank,Banking,59.75,Neutral,Medium Risk,4.25,12.07,MBB,Military Bank,56.25,Neutral,Medium Risk,1.44,8.68,-3.5,-3.39,No Clear Opportunity Cost
2023Q1,CTG,VietinBank,Banking,59.75,Neutral,Medium Risk,4.25,12.07,TCB,Techcombank,52.08,Neutral,Medium Risk,3.31,10.34,-7.67,-1.73,No Clear Opportunity Cost
2023Q1,CTG,VietinBank,Banking,59.75,Neutral,Medium Risk,4.25,12.07,VCB,Vietcombank,46.92,Weak Signal,Medium Risk,10.66,15.85,-12.83,3.78,Moderate Opportunity Cost
2023Q1,CTG,VietinBank,Banking,59.75,Neutral,Medium Risk,4.25,12.07,BID,BIDV,46.0,Weak Signal,Medium Risk,12.15,19.08,-13.75,7.01,Moderate Opportunity Cost
2023Q1,GAS,PV Gas,Energy,34.83,Risk Alert,Low Risk,-2.85,-0.58,PLX,Petrolimex,53.5,Neutral,Medium Risk,13.67,23.99,18.67,24.57,Moderate Opportunity Cost
2023Q1,HCM,HSC Securities,Securities,55.42,Neutral,High Risk,21.75,31.91,SSI,SSI Securities,61.08,Neutral,High Risk,13.8,26.1,5.66,-5.81,Low Opportunity Cost
2023Q1,HCM,HSC Securities,Securities,55.42,Neutral,High Risk,21.75,31.91,VCI,Vietcap Securities,58.58,Neutral,High Risk,29.19,43.98,3.16,12.07,Moderate Opportunity Cost
2023Q1,HDB,HDBank,Banking,63.5,Neutral,Medium Risk,16.67,18.5,STB,Sacombank,70.0,Positive Signal,High Risk,11.49,19.63,6.5,1.13,Low Opportunity Cost
2023Q1,HDB,HDBank,Banking,63.5,Neutral,Medium Risk,16.67,18.5,VPB,VPBank,69.58,Positive Signal,Medium Risk,13.8,22.36,6.08,3.86,Moderate Opportunity Cost
2023Q1,HDB,HDBank,Banking,63.5,Neutral,Medium Risk,16.67,18.5,ACB,ACB,64.33,Neutral,Medium Risk,10.11,13.17,0.83,-5.33,Low Opportunity Cost
2023Q1,HDB,HDBank,Banking,63.5,Neutral,Medium Risk,16.67,18.5,TPB,TPBank,62.92,Neutral,Medium Risk,12.44,17.26,-0.58,-1.24,No Clear Opportunity Cost
2023Q1,HDB,HDBank,Banking,63.5,Neutral,Medium Risk,16.67,18.5,CTG,VietinBank,59.75,Neutral,Medium Risk,4.25,12.07,-3.75,-6.43,No Clear Opportunity Cost
2023Q1,HDB,HDBank,Banking,63.5,Neutral,Medium Risk,16.67,18.5,MBB,Military Bank,56.25,Neutral,Medium Risk,1.44,8.68,-7.25,-9.82,No Clear Opportunity Cost
2023Q1,HDB,HDBank,Banking,63.5,Neutral,Medium Risk,16.67,18.5,TCB,Techcombank,52.08,Neutral,Medium Risk,3.31,10.34,-11.42,-8.16,No Clear Opportunity Cost
2023Q1,HDB,HDBank,Banking,63.5,Neutral,Medium Risk,16.67,18.5,VCB,Vietcombank,46.92,Weak Signal,Medium Risk,10.66,15.85,-16.58,-2.65,No Clear Opportunity Cost
2023Q1,HDB,HDBank,Banking,63.5,Neutral,Medium Risk,16.67,18.5,BID,BIDV,46.0,Weak Signal,Medium Risk,12.15,19.08,-17.5,0.58,No Clear Opportunity Cost
2023Q1,KDH,Khang Dien House,Real Estate,44.08,Weak Signal,High Risk,-1.43,11.99,VRE,Vincom Retail,62.67,Neutral,Medium Risk,5.16,20.37,18.59,8.38,Moderate Opportunity Cost
2023Q1,KDH,Khang Dien House,Real Estate,44.08,Weak Signal,High Risk,-1.43,11.99,VHM,Vinhomes,58.58,Neutral,Medium Risk,4.25,9.57,14.5,-2.42,Moderate Opportunity Cost
2023Q1,KDH,Khang Dien House,Real Estate,44.08,Weak Signal,High Risk,-1.43,11.99,VIC,Vingroup,51.42,Neutral,Low Risk,-3.17,3.97,7.34,-8.02,Low Opportunity Cost
2023Q1,MBB,Military Bank,Banking,56.25,Neutral,Medium Risk,1.44,8.68,STB,Sacombank,70.0,Positive Signal,High Risk,11.49,19.63,13.75,10.95,Moderate Opportunity Cost
2023Q1,MBB,Military Bank,Banking,56.25,Neutral,Medium Risk,1.44,8.68,VPB,VPBank,69.58,Positive Signal,Medium Risk,13.8,22.36,13.33,13.68,Moderate Opportunity Cost
2023Q1,MBB,Military Bank,Banking,56.25,Neutral,Medium Risk,1.44,8.68,ACB,ACB,64.33,Neutral,Medium Risk,10.11,13.17,8.08,4.49,Moderate Opportunity Cost
2023Q1,MBB,Military Bank,Banking,56.25,Neutral,Medium Risk,1.44,8.68,HDB,HDBank,63.5,Neutral,Medium Risk,16.67,18.5,7.25,9.82,Moderate Opportunity Cost
2023Q1,MBB,Military Bank,Banking,56.25,Neutral,Medium Risk,1.44,8.68,TPB,TPBank,62.92,Neutral,Medium Risk,12.44,17.26,6.67,8.58,Moderate Opportunity Cost
2023Q1,MBB,Military Bank,Banking,56.25,Neutral,Medium Risk,1.44,8.68,CTG,VietinBank,59.75,Neutral,Medium Risk,4.25,12.07,3.5,3.39,Moderate Opportunity Cost
2023Q1,MBB,Military Bank,Banking,56.25,Neutral,Medium Risk,1.44,8.68,TCB,Techcombank,52.08,Neutral,Medium Risk,3.31,10.34,-4.17,1.66,No Clear Opportunity Cost
2023Q1,MBB,Military Bank,Banking,56.25,Neutral,Medium Risk,1.44,8.68,VCB,Vietcombank,46.92,Weak Signal,Medium Risk,10.66,15.85,-9.33,7.17,Moderate Opportunity Cost
2023Q1,MBB,Military Bank,Banking,56.25,Neutral,Medium Risk,1.44,8.68,BID,BIDV,46.0,Weak Signal,Medium Risk,12.15,19.08,-10.25,10.4,Moderate Opportunity Cost
2023Q1,MSN,Masan Group,Consumer,38.17,Weak Signal,Medium Risk,-18.96,-14.97,SAB,Sabeco,52.33,Neutral,Medium Risk,9.86,7.32,14.16,22.29,Moderate Opportunity Cost
2023Q1,MSN,Masan Group,Consumer,38.17,Weak Signal,Medium Risk,-18.96,-14.97,VNM,Vinamilk,47.25,Weak Signal,Low Risk,-5.22,-2.11,9.08,12.86,Moderate Opportunity Cost
2023Q1,MWG,Mobile World,Retail,38.67,Weak Signal,Medium Risk,-12.31,-9.52,PNJ,Phu Nhuan Jewelry,30.67,Risk Alert,Medium Risk,-12.61,-3.42,-8.0,6.1,Moderate Opportunity Cost
2023Q1,PLX,Petrolimex,Energy,53.5,Neutral,Medium Risk,13.67,23.99,GAS,PV Gas,34.83,Risk Alert,Low Risk,-2.85,-0.58,-18.67,-24.57,No Clear Opportunity Cost
2023Q1,PNJ,Phu Nhuan Jewelry,Retail,30.67,Risk Alert,Medium Risk,-12.61,-3.42,MWG,Mobile World,38.67,Weak Signal,Medium Risk,-12.31,-9.52,8.0,-6.1,Low Opportunity Cost
2023Q1,SAB,Sabeco,Consumer,52.33,Neutral,Medium Risk,9.86,7.32,VNM,Vinamilk,47.25,Weak Signal,Low Risk,-5.22,-2.11,-5.08,-9.43,No Clear Opportunity Cost
2023Q1,SAB,Sabeco,Consumer,52.33,Neutral,Medium Risk,9.86,7.32,MSN,Masan Group,38.17,Weak Signal,Medium Risk,-18.96,-14.97,-14.16,-22.29,No Clear Opportunity Cost
2023Q1,SSI,SSI Securities,Securities,61.08,Neutral,High Risk,13.8,26.1,VCI,Vietcap Securities,58.58,Neutral,High Risk,29.19,43.98,-2.5,17.88,Moderate Opportunity Cost
2023Q1,SSI,SSI Securities,Securities,61.08,Neutral,High Risk,13.8,26.1,HCM,HSC Securities,55.42,Neutral,High Risk,21.75,31.91,-5.66,5.81,Moderate Opportunity Cost
2023Q1,STB,Sacombank,Banking,70.0,Positive Signal,High Risk,11.49,19.63,VPB,VPBank,69.58,Positive Signal,Medium Risk,13.8,22.36,-0.42,2.73,Moderate Opportunity Cost
2023Q1,STB,Sacombank,Banking,70.0,Positive Signal,High Risk,11.49,19.63,ACB,ACB,64.33,Neutral,Medium Risk,10.11,13.17,-5.67,-6.46,No Clear Opportunity Cost
2023Q1,STB,Sacombank,Banking,70.0,Positive Signal,High Risk,11.49,19.63,HDB,HDBank,63.5,Neutral,Medium Risk,16.67,18.5,-6.5,-1.13,No Clear Opportunity Cost
2023Q1,STB,Sacombank,Banking,70.0,Positive Signal,High Risk,11.49,19.63,TPB,TPBank,62.92,Neutral,Medium Risk,12.44,17.26,-7.08,-2.37,No Clear Opportunity Cost
2023Q1,STB,Sacombank,Banking,70.0,Positive Signal,High Risk,11.49,19.63,CTG,VietinBank,59.75,Neutral,Medium Risk,4.25,12.07,-10.25,-7.56,No Clear Opportunity Cost
2023Q1,STB,Sacombank,Banking,70.0,Positive Signal,High Risk,11.49,19.63,MBB,Military Bank,56.25,Neutral,Medium Risk,1.44,8.68,-13.75,-10.95,No Clear Opportunity Cost
2023Q1,STB,Sacombank,Banking,70.0,Positive Signal,High Risk,11.49,19.63,TCB,Techcombank,52.08,Neutral,Medium Risk,3.31,10.34,-17.92,-9.29,No Clear Opportunity Cost
2023Q1,STB,Sacombank,Banking,70.0,Positive Signal,High Risk,11.49,19.63,VCB,Vietcombank,46.92,Weak Signal,Medium Risk,10.66,15.85,-23.08,-3.78,No Clear Opportunity Cost
2023Q1,STB,Sacombank,Banking,70.0,Positive Signal,High Risk,11.49,19.63,BID,BIDV,46.0,Weak Signal,Medium Risk,12.15,19.08,-24.0,-0.55,No Clear Opportunity Cost
2023Q1,TCB,Techcombank,Banking,52.08,Neutral,Medium Risk,3.31,10.34,STB,Sacombank,70.0,Positive Signal,High Risk,11.49,19.63,17.92,9.29,Moderate Opportunity Cost
2023Q1,TCB,Techcombank,Banking,52.08,Neutral,Medium Risk,3.31,10.34,VPB,VPBank,69.58,Positive Signal,Medium Risk,13.8,22.36,17.5,12.02,Moderate Opportunity Cost
2023Q1,TCB,Techcombank,Banking,52.08,Neutral,Medium Risk,3.31,10.34,ACB,ACB,64.33,Neutral,Medium Risk,10.11,13.17,12.25,2.83,Moderate Opportunity Cost
2023Q1,TCB,Techcombank,Banking,52.08,Neutral,Medium Risk,3.31,10.34,HDB,HDBank,63.5,Neutral,Medium Risk,16.67,18.5,11.42,8.16,Moderate Opportunity Cost
2023Q1,TCB,Techcombank,Banking,52.08,Neutral,Medium Risk,3.31,10.34,TPB,TPBank,62.92,Neutral,Medium Risk,12.44,17.26,10.84,6.92,Moderate Opportunity Cost
2023Q1,TCB,Techcombank,Banking,52.08,Neutral,Medium Risk,3.31,10.34,CTG,VietinBank,59.75,Neutral,Medium Risk,4.25,12.07,7.67,1.73,Low Opportunity Cost
2023Q1,TCB,Techcombank,Banking,52.08,Neutral,Medium Risk,3.31,10.34,MBB,Military Bank,56.25,Neutral,Medium Risk,1.44,8.68,4.17,-1.66,Low Opportunity Cost
2023Q1,TCB,Techcombank,Banking,52.08,Neutral,Medium Risk,3.31,10.34,VCB,Vietcombank,46.92,Weak Signal,Medium Risk,10.66,15.85,-5.16,5.51,Moderate Opportunity Cost
2023Q1,TCB,Techcombank,Banking,52.08,Neutral,Medium Risk,3.31,10.34,BID,BIDV,46.0,Weak Signal,Medium Risk,12.15,19.08,-6.08,8.74,Moderate Opportunity Cost
2023Q1,TPB,TPBank,Banking,62.92,Neutral,Medium Risk,12.44,17.26,STB,Sacombank,70.0,Positive Signal,High Risk,11.49,19.63,7.08,2.37,Moderate Opportunity Cost
2023Q1,TPB,TPBank,Banking,62.92,Neutral,Medium Risk,12.44,17.26,VPB,VPBank,69.58,Positive Signal,Medium Risk,13.8,22.36,6.66,5.1,Moderate Opportunity Cost
2023Q1,TPB,TPBank,Banking,62.92,Neutral,Medium Risk,12.44,17.26,ACB,ACB,64.33,Neutral,Medium Risk,10.11,13.17,1.41,-4.09,Low Opportunity Cost
2023Q1,TPB,TPBank,Banking,62.92,Neutral,Medium Risk,12.44,17.26,HDB,HDBank,63.5,Neutral,Medium Risk,16.67,18.5,0.58,1.24,Low Opportunity Cost
2023Q1,TPB,TPBank,Banking,62.92,Neutral,Medium Risk,12.44,17.26,CTG,VietinBank,59.75,Neutral,Medium Risk,4.25,12.07,-3.17,-5.19,No Clear Opportunity Cost
2023Q1,TPB,TPBank,Banking,62.92,Neutral,Medium Risk,12.44,17.26,MBB,Military Bank,56.25,Neutral,Medium Risk,1.44,8.68,-6.67,-8.58,No Clear Opportunity Cost
2023Q1,TPB,TPBank,Banking,62.92,Neutral,Medium Risk,12.44,17.26,TCB,Techcombank,52.08,Neutral,Medium Risk,3.31,10.34,-10.84,-6.92,No Clear Opportunity Cost
2023Q1,TPB,TPBank,Banking,62.92,Neutral,Medium Risk,12.44,17.26,VCB,Vietcombank,46.92,Weak Signal,Medium Risk,10.66,15.85,-16.0,-1.41,No Clear Opportunity Cost
2023Q1,TPB,TPBank,Banking,62.92,Neutral,Medium Risk,12.44,17.26,BID,BIDV,46.0,Weak Signal,Medium Risk,12.15,19.08,-16.92,1.82,No Clear Opportunity Cost
2023Q1,VCB,Vietcombank,Banking,46.92,Weak Signal,Medium Risk,10.66,15.85,STB,Sacombank,70.0,Positive Signal,High Risk,11.49,19.63,23.08,3.78,Moderate Opportunity Cost
2023Q1,VCB,Vietcombank,Banking,46.92,Weak Signal,Medium Risk,10.66,15.85,VPB,VPBank,69.58,Positive Signal,Medium Risk,13.8,22.36,22.66,6.51,High Opportunity Cost
2023Q1,VCB,Vietcombank,Banking,46.92,Weak Signal,Medium Risk,10.66,15.85,ACB,ACB,64.33,Neutral,Medium Risk,10.11,13.17,17.41,-2.68,Moderate Opportunity Cost
2023Q1,VCB,Vietcombank,Banking,46.92,Weak Signal,Medium Risk,10.66,15.85,HDB,HDBank,63.5,Neutral,Medium Risk,16.67,18.5,16.58,2.65,Moderate Opportunity Cost
2023Q1,VCB,Vietcombank,Banking,46.92,Weak Signal,Medium Risk,10.66,15.85,TPB,TPBank,62.92,Neutral,Medium Risk,12.44,17.26,16.0,1.41,Moderate Opportunity Cost
2023Q1,VCB,Vietcombank,Banking,46.92,Weak Signal,Medium Risk,10.66,15.85,CTG,VietinBank,59.75,Neutral,Medium Risk,4.25,12.07,12.83,-3.78,Moderate Opportunity Cost
2023Q1,VCB,Vietcombank,Banking,46.92,Weak Signal,Medium Risk,10.66,15.85,MBB,Military Bank,56.25,Neutral,Medium Risk,1.44,8.68,9.33,-7.17,Low Opportunity Cost
2023Q1,VCB,Vietcombank,Banking,46.92,Weak Signal,Medium Risk,10.66,15.85,TCB,Techcombank,52.08,Neutral,Medium Risk,3.31,10.34,5.16,-5.51,Low Opportunity Cost
2023Q1,VCB,Vietcombank,Banking,46.92,Weak Signal,Medium Risk,10.66,15.85,BID,BIDV,46.0,Weak Signal,Medium Risk,12.15,19.08,-0.92,3.23,Moderate Opportunity Cost
2023Q1,VCI,Vietcap Securities,Securities,58.58,Neutral,High Risk,29.19,43.98,SSI,SSI Securities,61.08,Neutral,High Risk,13.8,26.1,2.5,-17.88,Low Opportunity Cost
2023Q1,VCI,Vietcap Securities,Securities,58.58,Neutral,High Risk,29.19,43.98,HCM,HSC Securities,55.42,Neutral,High Risk,21.75,31.91,-3.16,-12.07,No Clear Opportunity Cost
2023Q1,VHM,Vinhomes,Real Estate,58.58,Neutral,Medium Risk,4.25,9.57,VRE,Vincom Retail,62.67,Neutral,Medium Risk,5.16,20.37,4.09,10.8,Moderate Opportunity Cost
2023Q1,VHM,Vinhomes,Real Estate,58.58,Neutral,Medium Risk,4.25,9.57,VIC,Vingroup,51.42,Neutral,Low Risk,-3.17,3.97,-7.16,-5.6,No Clear Opportunity Cost
2023Q1,VHM,Vinhomes,Real Estate,58.58,Neutral,Medium Risk,4.25,9.57,KDH,Khang Dien House,44.08,Weak Signal,High Risk,-1.43,11.99,-14.5,2.42,Moderate Opportunity Cost
2023Q1,VIC,Vingroup,Real Estate,51.42,Neutral,Low Risk,-3.17,3.97,VRE,Vincom Retail,62.67,Neutral,Medium Risk,5.16,20.37,11.25,16.4,Moderate Opportunity Cost
2023Q1,VIC,Vingroup,Real Estate,51.42,Neutral,Low Risk,-3.17,3.97,VHM,Vinhomes,58.58,Neutral,Medium Risk,4.25,9.57,7.16,5.6,Moderate Opportunity Cost
2023Q1,VIC,Vingroup,Real Estate,51.42,Neutral,Low Risk,-3.17,3.97,KDH,Khang Dien House,44.08,Weak Signal,High Risk,-1.43,11.99,-7.34,8.02,Moderate Opportunity Cost
2023Q1,VNM,Vinamilk,Consumer,47.25,Weak Signal,Low Risk,-5.22,-2.11,SAB,Sabeco,52.33,Neutral,Medium Risk,9.86,7.32,5.08,9.43,Moderate Opportunity Cost
2023Q1,VNM,Vinamilk,Consumer,47.25,Weak Signal,Low Risk,-5.22,-2.11,MSN,Masan Group,38.17,Weak Signal,Medium Risk,-18.96,-14.97,-9.08,-12.86,No Clear Opportunity Cost
2023Q1,VPB,VPBank,Banking,69.58,Positive Signal,Medium Risk,13.8,22.36,STB,Sacombank,70.0,Positive Signal,High Risk,11.49,19.63,0.42,-2.73,Low Opportunity Cost
2023Q1,VPB,VPBank,Banking,69.58,Positive Signal,Medium Risk,13.8,22.36,ACB,ACB,64.33,Neutral,Medium Risk,10.11,13.17,-5.25,-9.19,No Clear Opportunity Cost
2023Q1,VPB,VPBank,Banking,69.58,Positive Signal,Medium Risk,13.8,22.36,HDB,HDBank,63.5,Neutral,Medium Risk,16.67,18.5,-6.08,-3.86,No Clear Opportunity Cost
2023Q1,VPB,VPBank,Banking,69.58,Positive Signal,Medium Risk,13.8,22.36,TPB,TPBank,62.92,Neutral,Medium Risk,12.44,17.26,-6.66,-5.1,No Clear Opportunity Cost
2023Q1,VPB,VPBank,Banking,69.58,Positive Signal,Medium Risk,13.8,22.36,CTG,VietinBank,59.75,Neutral,Medium Risk,4.25,12.07,-9.83,-10.29,No Clear Opportunity Cost
2023Q1,VPB,VPBank,Banking,69.58,Positive Signal,Medium Risk,13.8,22.36,MBB,Military Bank,56.25,Neutral,Medium Risk,1.44,8.68,-13.33,-13.68,No Clear Opportunity Cost
2023Q1,VPB,VPBank,Banking,69.58,Positive Signal,Medium Risk,13.8,22.36,TCB,Techcombank,52.08,Neutral,Medium Risk,3.31,10.34,-17.5,-12.02,No Clear Opportunity Cost
2023Q1,VPB,VPBank,Banking,69.58,Positive Signal,Medium Risk,13.8,22.36,VCB,Vietcombank,46.92,Weak Signal,Medium Risk,10.66,15.85,-22.66,-6.51,No Clear Opportunity Cost
2023Q1,VPB,VPBank,Banking,69.58,Positive Signal,Medium Risk,13.8,22.36,BID,BIDV,46.0,Weak Signal,Medium Risk,12.15,19.08,-23.58,-3.28,No Clear Opportunity Cost
2023Q1,VRE,Vincom Retail,Real Estate,62.67,Neutral,Medium Risk,5.16,20.37,VHM,Vinhomes,58.58,Neutral,Medium Risk,4.25,9.57,-4.09,-10.8,No Clear Opportunity Cost
2023Q1,VRE,Vincom Retail,Real Estate,62.67,Neutral,Medium Risk,5.16,20.37,VIC,Vingroup,51.42,Neutral,Low Risk,-3.17,3.97,-11.25,-16.4,No Clear Opportunity Cost
2023Q1,VRE,Vincom Retail,Real Estate,62.67,Neutral,Medium Risk,5.16,20.37,KDH,Khang Dien House,44.08,Weak Signal,High Risk,-1.43,11.99,-18.59,-8.38,No Clear Opportunity Cost
2023Q2,ACB,ACB,Banking,72.0,Positive Signal,Low Risk,4.55,7.24,STB,Sacombank,72.0,Positive Signal,High Risk,11.4,14.62,0.0,7.38,Moderate Opportunity Cost
2023Q2,ACB,ACB,Banking,72.0,Positive Signal,Low Risk,4.55,7.24,MBB,Military Bank,65.33,Positive Signal,Medium Risk,10.76,13.45,-6.67,6.21,Moderate Opportunity Cost
2023Q2,ACB,ACB,Banking,72.0,Positive Signal,Low Risk,4.55,7.24,VPB,VPBank,63.08,Neutral,Medium Risk,-6.38,-5.03,-8.92,-12.27,No Clear Opportunity Cost
2023Q2,ACB,ACB,Banking,72.0,Positive Signal,Low Risk,4.55,7.24,CTG,VietinBank,62.33,Neutral,Medium Risk,-1.47,1.74,-9.67,-5.5,No Clear Opportunity Cost
2023Q2,ACB,ACB,Banking,72.0,Positive Signal,Low Risk,4.55,7.24,TPB,TPBank,58.08,Neutral,Medium Risk,10.2,13.19,-13.92,5.95,Moderate Opportunity Cost
2023Q2,ACB,ACB,Banking,72.0,Positive Signal,Low Risk,4.55,7.24,HDB,HDBank,53.67,Neutral,Medium Risk,1.32,4.83,-18.33,-2.41,No Clear Opportunity Cost
2023Q2,ACB,ACB,Banking,72.0,Positive Signal,Low Risk,4.55,7.24,TCB,Techcombank,53.42,Neutral,High Risk,10.4,16.77,-18.58,9.53,Moderate Opportunity Cost
2023Q2,ACB,ACB,Banking,72.0,Positive Signal,Low Risk,4.55,7.24,VCB,Vietcombank,50.92,Neutral,Medium Risk,7.76,7.89,-21.08,0.65,No Clear Opportunity Cost
2023Q2,ACB,ACB,Banking,72.0,Positive Signal,Low Risk,4.55,7.24,BID,BIDV,38.92,Weak Signal,Medium Risk,-5.56,-6.18,-33.08,-13.42,No Clear Opportunity Cost
2023Q2,BID,BIDV,Banking,38.92,Weak Signal,Medium Risk,-5.56,-6.18,ACB,ACB,72.0,Positive Signal,Low Risk,4.55,7.24,33.08,13.42,High Opportunity Cost
2023Q2,BID,BIDV,Banking,38.92,Weak Signal,Medium Risk,-5.56,-6.18,STB,Sacombank,72.0,Positive Signal,High Risk,11.4,14.62,33.08,20.8,High Opportunity Cost
2023Q2,BID,BIDV,Banking,38.92,Weak Signal,Medium Risk,-5.56,-6.18,MBB,Military Bank,65.33,Positive Signal,Medium Risk,10.76,13.45,26.41,19.63,High Opportunity Cost
2023Q2,BID,BIDV,Banking,38.92,Weak Signal,Medium Risk,-5.56,-6.18,VPB,VPBank,63.08,Neutral,Medium Risk,-6.38,-5.03,24.16,1.15,Moderate Opportunity Cost
2023Q2,BID,BIDV,Banking,38.92,Weak Signal,Medium Risk,-5.56,-6.18,CTG,VietinBank,62.33,Neutral,Medium Risk,-1.47,1.74,23.41,7.92,High Opportunity Cost
2023Q2,BID,BIDV,Banking,38.92,Weak Signal,Medium Risk,-5.56,-6.18,TPB,TPBank,58.08,Neutral,Medium Risk,10.2,13.19,19.16,19.37,Moderate Opportunity Cost
2023Q2,BID,BIDV,Banking,38.92,Weak Signal,Medium Risk,-5.56,-6.18,HDB,HDBank,53.67,Neutral,Medium Risk,1.32,4.83,14.75,11.01,Moderate Opportunity Cost
2023Q2,BID,BIDV,Banking,38.92,Weak Signal,Medium Risk,-5.56,-6.18,TCB,Techcombank,53.42,Neutral,High Risk,10.4,16.77,14.5,22.95,Moderate Opportunity Cost
2023Q2,BID,BIDV,Banking,38.92,Weak Signal,Medium Risk,-5.56,-6.18,VCB,Vietcombank,50.92,Neutral,Medium Risk,7.76,7.89,12.0,14.07,Moderate Opportunity Cost
2023Q2,CTG,VietinBank,Banking,62.33,Neutral,Medium Risk,-1.47,1.74,ACB,ACB,72.0,Positive Signal,Low Risk,4.55,7.24,9.67,5.5,Moderate Opportunity Cost
